Subject,Start Date,Start Time
LCS 2022 Spring - EG vs DIG,2022-02-12,22:30
LCS 2022 Spring - IMT vs 100,2022-02-12,23:30
LCS 2022 Spring - TL vs C9,2022-02-13,00:30
LCS 2022 Spring - GG vs CLG,2022-02-13,01:30
LCS 2022 Spring - TSM vs FLY,2022-02-13,02:30
LCS 2022 Spring - IMT vs C9,2022-02-13,21:30
LCS 2022 Spring - TSM vs GG,2022-02-13,22:30
LCS 2022 Spring - EG vs 100,2022-02-13,23:30
LCS 2022 Spring - TL vs FLY,2022-02-14,00:30
LCS 2022 Spring - DIG vs CLG,2022-02-14,01:30
LCS 2022 Spring - GG vs 100,2022-02-19,22:30
LCS 2022 Spring - IMT vs TSM,2022-02-19,23:30
LCS 2022 Spring - TL vs EG,2022-02-20,00:30
LCS 2022 Spring - FLY vs DIG,2022-02-20,01:30
LCS 2022 Spring - CLG vs C9,2022-02-20,02:30
LCS 2022 Spring - IMT vs EG,2022-02-20,21:30
LCS 2022 Spring - FLY vs 100,2022-02-20,22:30
LCS 2022 Spring - TSM vs C9,2022-02-20,23:30
LCS 2022 Spring - GG vs DIG,2022-02-21,00:30
LCS 2022 Spring - TL vs CLG,2022-02-21,01:30
LCS 2022 Spring - DIG vs C9,2022-02-25,23:30
LCS 2022 Spring - TL vs GG,2022-02-26,00:30
LCS 2022 Spring - TSM vs 100,2022-02-26,01:30
LCS 2022 Spring - IMT vs CLG,2022-02-26,02:30
LCS 2022 Spring - TL vs DIG,2022-02-26,22:30
LCS 2022 Spring - TSM vs CLG,2022-02-26,23:30
LCS 2022 Spring - C9 vs 100,2022-02-27,00:30
LCS 2022 Spring - EG vs FLY,2022-02-27,01:30
LCS 2022 Spring - IMT vs FLY,2022-02-27,02:30
LCS 2022 Spring - GG vs EG,2022-02-27,03:30
LCS 2022 Spring - TSM vs TL,2022-02-27,21:30
LCS 2022 Spring - EG vs CLG,2022-02-27,22:30
LCS 2022 Spring - FLY vs C9,2022-02-27,23:30
LCS 2022 Spring - IMT vs GG,2022-02-28,00:30
LCS 2022 Spring - DIG vs 100,2022-02-28,01:30
LCS 2022 Spring - IMT vs EG,2022-03-05,22:30
